"claims","logclaims"
45,3.80666248977032
47,3.85014760171006
70,4.24849524204936
75,4.31748811353631
77,4.34380542185368
92,4.52178857704904
117,4.76217393479776
117,4.76217393479776
140,4.9416424226093
145,4.97673374242057
149,5.00394630594546
165,5.10594547390058
167,5.11799381241676
169,5.12989871492307
180,5.19295685089021
180,5.19295685089021
199,5.29330482472449
202,5.30826769740121
212,5.35658627467201
225,5.41610040220442
230,5.4380793089232
242,5.48893772615669
264,5.57594910314632
275,5.61677109766657
285,5.65248918026865
290,5.66988092298052
363,5.89440283426485
384,5.95064255258773
400,5.99146454710798
400,5.99146454710798
413,6.02344759296103
414,6.02586597382531
416,6.03068526026126
425,6.05208916892442
425,6.05208916892442
430,6.06378520868761
431,6.06610809010375
450,6.10924758276437
460,6.13122648948314
486,6.18620862390049
500,6.21460809842219
500,6.21460809842219
531,6.27476202124194
540,6.29156913955832
556,6.32076829425058
564,6.33505425149806
600,6.39692965521615
605,6.40522845803084
605,6.40522845803084
650,6.47697236288968
660,6.49223983502047
660,6.49223983502047
685,6.52941883826223
690,6.5366915975913
698,6.54821910276237
700,6.5510803350434
705,6.55819780281227
725,6.58617165485467
740,6.60665018619822
750,6.62007320653036
780,6.65929391968364
785,6.66568371778241
785,6.66568371778241
806,6.69208374250663
825,6.71538338633468
825,6.71538338633468
830,6.72142570079064
870,6.76849321164863
900,6.80239476332431
934,6.83947643822884
950,6.85646198459459
954,6.86066367144829
956,6.8627579130514
962,6.86901445066571
970,6.87729607149743
975,6.88243747099785
988,6.89568269774787
1015,6.92264389147589
1053,6.95939851213398
1058,6.96413561241824
1080,6.98471632011827
1161,7.05703698169789
1167,7.06219163228656
1195,7.08590146436561
1215,7.10249935577465
1242,7.12447826249342
1260,7.13886699994552
1295,7.16626597413364
1310,7.1777824161952
1319,7.18462915271731
1330,7.1929342212158
1340,7.20042489294496
1355,7.2115567333138
1390,7.23705902612474
1444,7.27517231945277
1455,7.28276117960559
1463,7.28824440102012
1490,7.30653139893951
1500,7.3132203870903
1542,7.34083555412327
1598,7.37650812632622
1616,7.38770923908104
1623,7.39203156751459
1640,7.40245152081824
1650,7.40853056689463
1660,7.41457288135059
1680,7.4265490723973
1695,7.43543801981455
1758,7.47193207824512
1759,7.47250074473756
1760,7.4730690880322
