AMERICAN,LINCOLN,MARKET
0.303166986,0.164588004,0.004702
0.080091998,0.030238001,0.067982003
-0.015054,-0.006289,0.05266
0.043667998,-0.065401003,-0.014899
0.107950002,0.041002002,0.045552
0.003788,-0.074398004,0.011749
0.056604002,-0.016548,-0.057714
0.045713998,0.067961,0.067988001
-0.294521004,-0.097727001,-0.080867998
0.014563,0.015113,0.049837999
0.042488001,-0.030075001,0.012985
-0.041475002,-0.041343998,-0.028811
0.216345996,0.097897999,0.127488002
-0.103240997,0.002481,0.038293
-0.088496,-0.014851,0.022546999
-0.058251999,-0.036883999,-0.017405
-0.005773,0.034301002,0.002766
0.083333001,0.045917999,0.044838
0.076922998,0.061756,0.045006
0.253928989,0.071925998,0.032178
-0.042856999,-0.088744998,-0.022786001
-0.216417998,-0.224893004,-0.220522001
0.033142999,0.009317,-0.079571001
0.046296,-0.012308,0.065385997
0.00885,0.170467004,0.043205999
-0.022105001,0.029650001,0.043256
0.171170995,-0.036649,-0.02547
-0.069231004,-0.008913,0.008748
-0.070413001,0.016666999,-0.000708
-0.044643,0.027322,0.04623
-0.018692,0.023190999,-0.008978
-0.090667002,0.063157998,-0.033008002
0.115790002,0.029703001,0.035190001
0.028302001,-0.027115,0.018541001
-0.022384999,-0.075000003,-0.019858001
0.037735999,-0.059459001,0.01548
0.081817999,0.123447999,0.064214997
0.046723001,0.025907001,-0.022379
0.096773997,0.007576,0.01857
0.110293999,0.007419,0.045499999
-0.155231997,-0.022670001,0.033628002
0.007874,0.054124001,-0.005133
-0.023437999,0.085477002,0.079424001
0.132479995,-0.006834,0.015854999
0.014184,0.006881,-0.005578
0.055943999,0.068246,-0.030698
-0.042119,0.058189999,0.015888
0,-0.008147,0.017506
-0.118055999,-0.089938,-0.069964997
-0.050078999,-0.031962998,0.009669
-0.016666999,0.047169998,0.020666
-0.059322,-0.042342,-0.029902
0.095856003,0.042856999,0.083700001
0.049587,0.011416,-0.00871
0.047244001,-0.022121999,-0.006627
-0.138044998,-0.137850001,-0.091701999
-0.061404001,-0.03523,-0.051389001
0.112149,-0.280337006,-0.012765
0.140504003,0.314740986,0.058568999
0.133332998,0.042424001,0.024264
