INSOLVNT,ASSET87,ASSET88,ANN_PREM,CUR_LIAB,SURPLUS,COMM_PRM,PREM_LEV,LIAB_LEV,COMPANY,STATE,INDUSTRY,RATING
0,1977.766968,1678.125977,1403.803955,849.7609863,641.2839966,9.600000381,2.189051867,1.325093031,American Family Insurance,  WI, Auto Liab.& Physical, A+
0,301.6149902,246.9929962,178.5090027,151.0010071,62.51800156,7.599999905,2.855321646,2.415320396,Cumis,  WI,      Fidelity, A-
0,94.75800323,84.98799896,68.57700348,33.58800125,31.49500084,12.60000038,2.177393198,1.066455007,Rural Mutual Insurance,  WI, Auto Liab.& Physical, B+
0,105.0719986,86.47399902,100.4000015,54.56399918,35.81000137,14.10000038,2.803686142,1.523708344,Viking Ins. Co. of WI,  WI, Auto Liab.& Physical, A
0,180.3090057,149.6130066,111.6190033,85.38899994,41.98600006,13.80000019,2.658481359,2.033749342,Heritage Mutual Ins. Co.,  WI, Auto Liab.& Physical, A
0,505.0539856,452.480011,296.2009888,335.2609863,104.5960007,15.10000038,2.831857681,3.205294609,Dairyland Ins. Co.,  WI, Auto Liab.& Physical, A
0,102.9300003,110.336998,35.15200043,68.20800018,23.37599945,2,1.503764629,2.917864561,Wausau Underwriters Ins. Co.,  WI, Auto Liab.& Physical, A+
0,11.8039999,12.25699997,3.177999973,5.389999866,5.058000088,13.10000038,0.628311574,1.065638542,Fireman's Fund Ins. Co. of WI,  WI, Commercial Multiperil, A
0,88.73300171,77.54799652,56.16600037,26.43600082,19.20800018,29.29999924,2.9240942,1.376301527,Western Surety Co.,  SD,      Surety, A
0,4.772999763,4.309000015,3.612999916,1.370000005,1.524999976,16.89999962,2.369180202,0.89836067,Sunshine Mutual Ins. Co.,  SD, Auto Liab.& Physical, A+
0,62.98699951,54.19499969,48.81399918,27.0890007,20.90600014,11.60000038,2.334927797,1.295752406,Automobile Club Ins. Co.,  OH, Auto Liab.& Physical, A+
0,4.520999908,4.239999771,44.30899811,0.056000002,4.464000225,15.5,9.925849915,0.012544802,Farmers Ins. of Columbus,  OH, Auto Liab.& Physical, A
0,38.56399918,33.06999969,22.45299911,23.25099945,6.738999844,5.300000191,3.331799984,3.450215101,Nationwide Seneral Ins. Co.,  OH, Auto Liab.& Physical, A+
0,40.06600189,34.13299942,22.45299911,23.36199951,8.159999847,4.900000095,2.751593113,2.862990141,Nationwide Property & Casualty Ins. Co.,  OH, Auto Liab.& Physical, A+
0,2288.180908,2124.079102,1359.619995,1239.140015,442.4419861,15.19999981,3.072990417,2.800683498,Ohio Casualty Group,  OH, Auto Liab.& Physical, A+
0,1032.003052,768.9160156,655.9500122,333.0429993,274.9649963,13,2.385576487,1.211219668,Progressive Casualty Ins. Co.,  OH, Auto Liab.& Physical, A+
0,212.0310059,206.8990021,99.11100006,107.2480011,53.33399963,15.69999981,1.858308077,2.010874987,Central Mutual Ins. Co.,  OH, Auto Liab.& Physical, A-
0,322.1860046,282.6820068,162.8930054,142.423996,92.98500061,17.79999924,1.751820207,1.531687856,Westfield Ins. Co.,  OH, Auto Liab.& Physical, A+
0,33.65399933,29.80699921,21.71199989,9.88599968,15.26799965,13.80000019,1.422059178,0.647498012,Nodak Mutual Ins. Co.,  ND, Auto Liab.& Physical, A+
0,10.84399986,7.111999989,7.890999794,1.81099999,5.546999931,15.10000038,1.422570705,0.326482773,Columbia Mutual Casualty Ins.,  MO, Auto Liab.& Physical, A
0,80.30599976,69.72599792,42.57099915,24.98999977,40.38399887,9.800000191,1.054155111,0.618809462,Shelter General Ins. Co.,  MO, Auto Liab.& Physical, A+
0,13.97799969,17.77300072,-4.164999962,2.5,2.161999941,2.5,-1.926457047,1.156336784,Providers Ins. Co.,  MO, Medical Malpractice, na
0,4.117000103,4.489999771,5.368999958,0.305000007,3.726000071,21.10000038,1.4409554,0.081857219,Old Reliable Casualty Co.,  MO,       Fire, A
0,112.526001,156.7140045,54.28499985,132.2030029,20.02700043,20.10000038,2.710590601,6.601238251,Safety Mutual Casualty Corp.,  MO,       Other, B+
0,47.10400009,40.39199829,31.14900017,8.977999687,21.04400063,23.29999924,1.480184317,0.426629901,North Star Mutual Ins. Co.,  MN,    Homeowners, A+
